急性單關節炎需首先排除何種情況？	化膿性關節炎
瀰漫性淋病雙球菌感染的典型症狀有哪些？	移動性多關節、腱鞘炎、膿皰疹
痛風急性發作時，最常見受累部位是哪個？	第一蹠趾（podagra）
化膿性關節炎的關節液細胞數和中性球比例是多少？	>50,000, >90%
急性單關節熱腫應首先考慮何種情況？	先當 septic arthritis 處理
痛風的決定性診斷是什麼？	單鈉尿酸鹽針狀負雙折射結晶
急性關節炎時，哪種情況需考慮關節穿刺？	急性單關節熱腫
化膿性關節炎的治療首選是什麼？	經驗性抗生素
痛風急性發作時，常見的治療藥物有哪些？	NSAID/秋水仙鹼/類固醇
化膿性關節炎與其他情況鑑別時，哪種檢查最關鍵？	關節穿刺
雷擊頭痛應先排除何種疾病？	蜘蛛膜下腔出血（SAH）
發燒、頸僵、意識改變時疑何病？	腦膜炎或腦炎
>50歲新發頭痛應考慮何病？	巨細胞動脈炎GCA
急性隅角閉鎖性青光眼的典型症狀是？	單眼劇痛、紅眼、視力模糊、噁心嘔吐
偏頭痛POUND評分4-5分代表？	高可能性，很可能是偏頭痛
Ottawa SAH Rule的哪一項不是指標？	頸部屈曲受限
SAH患者CT陰性後應做何檢查？	腰椎穿刺看RBC/xanthochromia
急性青光眼需進行哪一項檢查？	眼壓測量
雷擊頭痛的特徵是？	數秒內到最痛
GCA患者常見症狀有哪些？	顳部壓痛、顎跛行、視力變化
單側急性下肢水腫需先排除何病？	深部靜脈栓塞（DVT）
哪種情況會考慮直接做下肢靜脈多普勒超音波？	Wells 分數 ≥3
急性雙側水腫需排除何病？	心力衰竭（CHF）
哪種情況會考慮先驗高敏 D-dimer？	Wells 分數 1–2
哪種水腫是非凹陷性？	甲狀腺機能低下引起的 myxedema
哪種水腫病人會考慮查癌症？	無明顯病因的雙側水腫
哪種水腫病人會考慮查蛋白 C/S 和抗磷脂綜合症？	無明顯病因的雙側水腫
哪種藥物可能引起單側急性下肢水腫？	深部靜脈栓塞（DVT）
哪種水腫病人會考慮查甲狀腺功能？	無明顯病因的雙側水腫
哪種水腫需要先排除呼吸道阻塞？	血管性水腫（angioedema，尤其舌/喉）
躁動病人首步驟是什麼？	量SpO2及血糖
哪種情況需立即給氧？	低血氧Hypoxia
哪種情況需立即給糖？	低血糖Hypoglycemia
酒精戒斷症狀有哪些？	顫抖、冒汗、心搏過速、幻覺
何時考慮腰椎穿刺？	發燒+意識改變+頸僵
哪種情況需停藥並積極降溫？	血清素症候群/Malignant Syndrome NMS
RASS分數多少為攻擊性Combative？	+4
CAM診斷譫妄的必要條件是什麼？	急性起病+波動病程
何時考慮使用鎮靜藥物？	有危及安全之虞
RASS分數多少為清醒平靜？	0
急性尿滯留紅旗警訊	馬尾症候群、阻塞性腎病、泌尿道感染
鑑別診斷神經性膀胱	鞍區麻木、下肢無力、反射異常、肛門張力↓
急性尿滯留第一步治療	放置 Foley 導尿減壓
泌尿道感染支持特徵	發燒、寒顫、血壓下降
膀胱過度膨脹破裂	外傷/長時間未解，罕見
前列腺肥大症支持特徵	男性最常見；老年、夜尿/尿柱變細病史、DRE 攝護腺對稱腫大平滑
前列腺癌支持特徵	DRE 硬結/不規則、PSA↑、體重減輕/骨痛
逼尿肌無力支持特徵	長期憋尿/糖尿病、無阻塞證據、殘尿多但無明顯出口阻力
急性尿滯留導尿引流量分類	< 200 mL 萬一真性滯留，200–400 mL 支持滯留，> 400 mL 明確急性滯留
急性尿滯留腎功能監測	Cr、K、酸鹼
腹痛的紅旗警訊有哪些？	出血、缺血、阻塞、穿孔、感染發炎
急性膽囊炎支持特徵是什麼？	Murphy sign(+)，Charcot 三徵（發燒+黃疸+右上腹痛）
急性心肌梗塞的腹痛如何鑑別？	上腹壓迫感、放射下巴/手臂、ECG 變化、troponin↑
闌尾炎的典型轉移痛型態是什麼？	臍周痛→轉移右下腹(McBurney)
急性胰臟炎嚴重度如何評分？	Ranson criteria（入院 5 項 + 48h 6 項）
急性腸胃出血風險如何評分？	Glasgow-Blatchford score
腹痛的板硬腹指什麼？	腹膜炎
育齡女性下腹痛必須先做哪個檢查？	驗孕
急性膽管炎如何治療？	抗生素+ERCP 引流
急性胰臟炎的止痛劑量是什麼？	嚴重腹痛給適當止痛
頭暈最怕漏掉的是什麼？	中樞中風
HINTS 指向中樞的標準有哪些？	HI 正常 / 變向眼震 / 有 skew（任一）
BPPV 的典型特徵是什麼？	耳石脫位、變換頭位誘發、每次數秒
前庭神經炎的症狀有哪些？	感冒後突發、嚴重且持續數天、噁心嘔吐步態不穩、無聽力損失
Meniere 病的典型症狀是什麼？	內淋巴水腫、耳鳴 + 感音聽損 + 耳脹 + 眩暈數分至數小時、反覆發作
急性持續性眩暈時，HINTS 三項中哪一項若正常則提示中樞？	Head Impulse 正常
ABCD2 分數為 4-5 分的短期中風風險是多少？	中（~4%）
HINTS+ 是指什麼？	加測聽力異常（HINTS+）可再提升敏感度
前庭性偏頭痛的典型症狀是什麼？	反覆 + 偏頭痛
中樞型眼震有哪些特徵？	方向會變 / 垂直 / 純旋轉、凝視不抑制
UGIB 紅旗警訊首點是什麼？	血流動力學不穩定
UGIB 持續嘔鮮血 / 大量黑便 + 生命徵象惡化表示？	活動性出血
靜脈曲張出血需考慮哪三種治療？	血管收縮劑、預防性抗生素、內視鏡結紮/硬化
UGIB 休克指標為何？	Shock Index↑
UGIB 醫生首步是什麼？	量生命徵象 + 建立 2 條大孔 IV + 抽血驗血 + type & cross
UGIB 疑靜脈曲張出血需考慮哪種藥物？	血管收縮劑（如 terlipressin / octreotide 類）
UGIB 疑潰瘍出血需考慮哪種藥物？	PPI
UGIB 醫生如何評估失血程度？	用生命徵象 + Shock Index + 尿量評估失血程度
UGIB 準備內視鏡前需考慮哪種因素？	先復甦後鏡檢
心悸先排哪兩種情況？	惡性心律不整、結構性心臟病
何時需同步電擊治療？	血流動力學不穩的快速心律
WPW + AF 禁用哪種藥物？	AV node blocker（如 digoxin/verapamil/adenosine）
何時需做 12-lead ECG？	症狀發作當下捕捉心律
SVT 的典型治療為？	Valsalva 或 adenosine
AF/Aflutter 控速/控律的藥物？	依院內指引，常見有 β 適應素、胺碘酮等
何時需考慮心臟超音波？	疑結構性/瓣膜/心肌病變
低血糖的典型症狀？	冒冷汗+心悸+手抖（交感）
高危特徵中，何種情況需住院監測？	任一高危特徵
SVT 的 ECG 特徵為？	窄 QRS、規則、快
喘氣的紅旗警訊先看哪兩項？	上呼吸道阻塞 / 過敏性喉頭水腫, 張力性氣胸
急性肺水腫或心衰竭惡化的典型症狀是什麼？	端坐呼吸, 粉紅泡沫痰, 雙側濕囓音, S3
大量肺栓塞的臨床表現有哪些？	突發喘 + 低血氧, 心搏過速, 單側腿腫, RV strain
重度氣喘或COPD惡化的關鍵指標是什麼？	講不出完整句子, 腹肌 / tripod, silent chest
代謝性酸中毒的典型呼吸模式是什麼？	Kussmaul 深快呼吸
喘氣時SpO₂低於多少需要立即處理？	持續 < 90%
急性肺水腫或心衰竭惡化的即刻處置是什麼？	坐起 + 硝酸鹽 + 利尿, 考慮NIV
張力性氣胸的處理方法是什麼？	立刻針刺減壓
CURB-65分數多少表示肺炎嚴重度高？	≥3
Wells評分用於評估什麼疾病的可能？	肺栓塞
昏厥的定義是什麼？	暫時性全腦灌流不足 → 短暫意識喪失，且快速、完全自行恢復
哪種情況屬於紅旗警訊？	運動中/用力時昏厥、心悸後突發、無預兆瞬間倒下、胸痛/背痛/呼吸困難合併昏厥、結構/大血管問題、家族猝死史
反射性昏厥的前驅症有哪些？	久站、疼痛、情緒、悶熱、排尿/咳嗽/排便後，出現噁心、冷汗、臉色蒼白、視野發黑
姿勢性低血壓的典型特徵是什麼？	站立後即刻發作、量躺-坐-站血壓收縮壓↓≥20 或舒張↓≥10
心因性昏厥的紅旗警訊有哪些？	運動中或平躺發作、無預兆瞬間倒、心悸先兆、ECG異常、新雜音、家族猝死史
哪種情況需要考慮做 tilt table test？	疑反射且反覆的昏厥患者
昏厥病人初步工作up必做的檢查是什麼？	12-lead ECG（找心律不整/傳導阻滯/預激/長 QT/Brugada/缺血）＋臥立血壓
ECG正常不能完全排除哪種情況？	陣發性心律不整
昏厥病人生命徵象穩定時，下一步該做什麼？	ECG + 臥立血壓 + 三段式病史
哪種昏厥合併外傷暗示無預兆的心因性？	運動中/無預兆的昏厥合併外傷
急性膽管炎的紅旗警訊是什麼？	發燒+右上腹痛+黃疸；進展成Reynolds五徵
猛爆性肝衰竭的主要症狀有哪些？	黃疸、凝血異常（INR↑）、肝腦病變
總膽管結石阻塞的典型症狀是什麼？	右上腹絞痛、clay-color stool、茶色尿、ALP/GGT↑
溶血危象的主要症狀有哪些？	間接膽紅素↑、貧血、LDH↑、haptoglobin↓
惡性阻塞的黃疸有何特徵？	無痛性黃疸+可觸及脹大膽囊
急性膽管炎的Charcot三徵是什麼？	發燒+右上腹痛+黃疸
Reynolds五徵有哪些症狀？	發燒+右上腹痛+黃疸+低血壓+意識改變
急性膽管炎的初步工作up包括哪些檢查？	腹部超音波、膽紅素分餾、肝功能組合、CBC/DC、肝炎血清學
Tokyo Guidelines中急性膽管炎分級為III級的定義是什麼？	合併任一器官衰竭：心血管（升壓劑）、神經（意識改變）、呼吸（P/F<300）、腎（Cr>2）、肝（INR>1.5）、血液（血小板<10萬）
急性膽管炎分級為II級的定義是什麼？	符合下列任二：WBC>12k或<4k、發燒≥39°C、年齡≥75、T-bil≥5、Alb 低下
乳房硬塊的紅旗警訊有哪些？	乳癌、皮膚變化、發炎性乳癌、腋下淋巴結腫大、血性乳頭分泌物、乳腺膿瘍
BI-RADS 分級 4a 細胞學風險是多少？	2–10%
BI-RADS 分級 5 的惡性風險是多少？	≥95%
乳房硬塊的鑑別診斷中，哪種情況需要立即引流？	乳腺膿瘍
BI-RADS 分級 4b 細胞學風險是多少？	10–50%
乳房硬塊的紅旗警訊中，哪種情況需要考慮轉移可能？	腋下淋巴結腫大
BI-RADS 分級 4c 細胞學風險是多少？	50–95%
乳房硬塊的紅旗警訊中，哪種情況需要考慮急性乳腺炎？	發炎性乳癌、急性紅腫熱痛
BI-RADS 分級 3 的惡性風險是多少？	<2%
乳房硬塊的紅旗警訊中，哪種情況需要考慮乳頭內縮？	皮膚變化
胸痛紅旗警訊有幾種？	6種
急性冠心症（ACS）的典型症狀是什麼？	壓迫性、放射左臂/下巴、冷汗、噁心
